raceId,Year,Race,Date,Finishers,City,State,Country,Continent,Type,Include,AgeBand,Net,Adjustment
1193,2025,Des Moines Marathon,2025-10-19,1889,Des Moines,IA,,,,True,1,0,0
803,2024,Madison Marathon,2024-11-10,1846,Madison,WI,,,,True,1,0,0
924,2024,Memphis Marathon,2024-12-07,1846,Memphis,TN,,,,True,1,0,0
120,2023,Air New Zealand Queenstown International Marathon,2023-11-18,1841,Queenstown,OTA,,,,False,1,0,0
367,2023,REVEL Big Bear,2023-11-18,1837,San Bernardino,CA,,,,True,1,0,0
341,2023,Marathon du P'tit Train du Nord,2023-09-30,1828,Saint-jerome,QC,,,,True,5,0,0
1132,2024,Quebec City Marathon,2024-10-06,1819,Quebec,QB,,,,True,5,0,0
164,2022,Oslo Maraton,2022-09-17,1816,Oslo,OSL,,,,False,1,0,0
809,2024,Wineglass Marathon Weekend,2024-10-05,1816,Corning,NY,,,,True,1,0,0
83,2024,Rimi Riga Marathon,2024-05-18,1815,Riga,RIG,,,,False,1,0,0
114,2023,Oklahoma City Marathon,2023-04-29,1801,Oklahoma City,OK,,,,True,1,0,0
8,2022,RnR Montreal Marathon,2022-09-23,1791,Montreal,QC,,,,False,1,0,0
93,2022,Memphis Marathon,2022-12-03,1767,Memphis,TN,,,,True,1,0,0
365,2023,Seattle Marathon,2023-11-26,1763,Seattle,WA,,,,True,1,0,0
975,2025,Cowtown Marathon,2025-02-23,1757,Cowtown,TX,,,,True,1,0,0
1011,2025,Mountains 2 Beach Marathon,2025-04-13,1755,Ventura,CA,,,,True,1,0,0
340,2022,Marathon du P'tit Train du Nord,2022-10-01,1750,Saint-jerome,QC,,,,True,5,0,0
358,2024,Milton Keynes Marathon - (MK Marathon Weekend),2024-05-05,1731,Milton Keynes,BED,,,,False,1,0,0
308,2024,Balwin Sport Dolphin Coast Marathon,2024-03-17,1726,Bedfordview,GAU,,,,False,1,0,0
98,2023,Shamrock Marathon,2023-03-17,1725,Virginia Beach,VA,,,,True,1,0,0
375,2023,ABP Newport Wales,2023-04-16,1712,Newport,WAL,,,,False,1,0,0
1056,2025,Cleveland Marathon,2025-05-18,1711,Cleveland,OH,,,,True,1,0,0
192,2023,ADNOC Abu Dhabi Marathon,2023-12-16,1705,Abu Dahbi,ABU,,,,False,1,0,0
361,2024,REVEL Mt. Charleston,2024-04-06,1704,Las Vegas,NV,,,,True,1,0,0
1194,2025,Las Vegas Marathon,2025-10-26,1701,Las Vegas,NV,,,,True,1,1585,600
146,2023,Tallinna Maraton,2023-09-09,1700,Tallinn,LÄÄ,,,,False,1,0,0
325,2023,Providence Marathon,2023-05-07,1699,Providence,RI,,,,True,1,0,0
1028,2025,Salt Lake City Marathon,2025-04-26,1693,Salt Lake City,UT,,,,True,1,0,0
352,2024,Mountains 2 Beach Marathon,2024-04-27,1689,Ventura,CA,,,,True,1,0,0
800,2024,Hartford Marathon,2024-10-19,1686,Hartford,CT,,,,True,1,0,0
337,2024,REVEL White Mountains,2024-05-05,1683,Conway,NH,,,,True,1,0,0
431,2023,Marathon Zeeland,2023-10-07,1655,Burgh Haamstede,ZEE,,,,False,1,0,0
292,2023,Wineglass Marathon Weekend,2023-09-30,1647,Corning,NY,,,,True,1,0,0
797,2024,Baltimore Marathon,2024-10-19,1632,Baltimore,MD,,,,True,1,0,0
122,2023,Colfax Marathon,2023-05-20,1629,Denver,CO,,,,True,1,0,0
262,2023,Madison Marathon,2023-11-12,1628,Madison,WI,,,,True,1,0,0
1063,2025,Bayshore Marathon,2025-05-24,1618,Traverse City,MI,,,,True,1,0,0
180,2024,Great Ocean Road Running Festival,2024-05-18,1614,Lorne,VI,,,,False,1,0,0
112,2022,RnR San Antonio,2022-12-03,1605,San Antonio,TX,,,,True,5,0,0
366,2022,REVEL Big Bear,2022-11-12,1602,San Bernardino,CA,,,,True,1,0,0
1152,2025,Milwaukee Lakefront Marathon,2025-10-05,1592,Milwaukee,WI,,,,True,1,0,0
203,2024,Cleveland Marathon,2024-05-18,1591,Cleveland,OH,,,,True,1,0,0
827,2024,Milwaukee Lakefront Marathon,2024-10-05,1587,milwaukee ,WI,,,,True,1,0,0
16,2024,Atlanta Marathon,2024-02-24,1582,Atlanta,GA,,,,True,1,0,0
347,2023,REVEL Big Cottonwood,2023-09-09,1571,Salt Lake City,UT,,,,True,1,0,0
964,2025,Surf City Marathon,2025-02-02,1566,Huntington Beach,CA,,,,True,1,0,0
182,2024,Calgary Marathon,2024-05-26,1556,Calgary,AB,,,,False,1,0,0
196,2024,Enschede Marathon,2024-04-21,1556,Enschede,OVE,,,,False,1,0,0
111,2024,Surf City Marathon,2024-02-03,1544,Huntington Beach,CA,,,,True,1,0,0
1180,2025,Kansas City Marathon,2025-10-18,1544,Kansas City,MO,,,,True,1,0,0
147,2022,Baltimore Marathon,2022-10-15,1536,Baltimore,MD,,,,True,1,0,0
360,2023,REVEL Mt. Charleston,2023-04-01,1517,Las Vegas,NV,,,,True,1,0,0
1068,2025,Vermont City Marathon,2025-05-25,1510,Burlington,VT,,,,True,1,0,0
148,2023,Baltimore Marathon,2023-10-14,1503,Baltimore,MD,,,,True,1,0,0
201,2023,Hartford Marathon,2023-10-14,1495,Hartford,CT,,,,True,1,0,0
244,2023,Charlotte's Thunder Road Marathon,2023-11-04,1486,Charlotte,NC,,,,True,1,0,0
168,2024,Fargo Marathon,2024-05-28,1481,Fargo,ND,,,,True,1,0,0
984,2025,Napa Valley Marathon,2025-03-02,1481,Napa,CA,,,,True,1,0,0
804,2024,Des Moines Marathon,2024-10-20,1480,Des Moines,IA,,,,True,1,0,0
178,2024,Standard Chartered Dubai Marathon,2024-01-07,1477,Dubai,ABU,,,,False,1,0,0
384,2023,Durban City Marathon,2023-03-12,1476,Durban,KWA,,,,False,1,0,0
808,2024,REVEL Big Cottonwood,2024-09-14,1468,Salt Lake City,UT,,,,True,1,1596,600
297,2023,Napa Valley Marathon,2023-03-05,1456,Napa,CA,,,,True,1,0,0
658,2023,Perth Marathon,2023-10-08,1455,Burswood,WA,,,,False,1,0,0
209,2023,Royal Victoria Marathon,2023-10-08,1454,"Victoria, B.C",BC,,,,True,5,0,0
27,2024,Carmel Marathon,2024-04-13,1451,Carmel,IN,,,,True,5,0,0
258,2023,Des Moines Marathon,2023-10-15,1450,Des Moines,IA,,,,True,1,0,0
351,2023,Mountains 2 Beach Marathon,2023-05-21,1450,Ventura,CA,,,,True,1,0,0
177,2023,Standard Chartered Dubai Marathon,2023-02-12,1446,Dubai,ABU,,,,False,1,0,0
194,2024,Brisbane Twighlight Running Festival,2024-06-02,1440,Brisbane,QLD,,,,False,1,0,0
298,2024,Napa Valley Marathon,2024-03-03,1437,Napa,CA,,,,True,1,0,0
